dataset_name,Config,OUT,MV,NC,Result,llm_model,has_description,task_type,task,samples
Utility,AutoSklearn,0.05,0.1,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CAAFE,0.05,0.1,12,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CatDB,0.05,0.2,180,0.8977015454029157,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,CatDBChain,0.05,0.2,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,H2O,0.05,0.2,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Flaml,0.05,0.2,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Autogluon,0.05,0.2,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,AutoSklearn,0.05,0.2,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CAAFE,0.05,0.2,180,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CatDB,0.05,0.2,12,0.937084299839901,gemini-1.5-pro-latest,No,regression,regression,0
Utility,CatDBChain,0.05,0.2,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,H2O,0.05,0.2,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Flaml,0.05,0.2,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,Autogluon,0.05,0.2,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,AutoSklearn,0.05,0.2,12,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CAAFE,0.05,0.2,12,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CatDB,0.05,0.3,180,0.884300431909705,gemini-1.5-pro-latest,No,multiclass,classification,0
Volkert,CatDBChain,0.05,0.3,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,H2O,0.05,0.3,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Flaml,0.05,0.3,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,Autogluon,0.05,0.3,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,AutoSklearn,0.05,0.3,180,-0.15,gemini-1.5-pro-latest,No,,,0
Volkert,CAAFE,0.05,0.3,180,-0.15,gemini-1.5-pro-latest,No,,,0
Utility,CatDB,0.05,0.3,12,0.8713716396670149,gemini-1.5-pro-latest,No,regression,regression,0
