id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,acc,auc,balacc,logloss,models_ensemble_count,acc_final
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,AutoGluon,81s,0,multiclass,-0.233589,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T20:44:59,87,84,0.3,9,180352050,0.868809,,0.819612,0.233589,3,86.8809
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,H2OAutoML,81s,0,multiclass,-0.268582,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-07T20:46:37,93.5,82.2,0.3,16,995496056,0.857578,,0.802025,0.268582,,85.7578
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,mljarsupervised,81s,0,multiclass,-0.243388,neg_logloss,local,1.1.1,,2.1.7,2024-01-07T20:48:18,96.1,87.2,0.8,6,487017081,0.865982,,0.815008,0.243388,,86.5982
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,constantpredictor,81s,0,multiclass,-0.937508,neg_logloss,local,1.2.2,,2.1.7,2024-01-07T20:48:22,0.2,0.01,0.0001,1,834434868,0.513313,,0.333333,0.937508,,51.3313
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,RandomForest,81s,0,multiclass,-0.41285,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T20:48:44,17.3,14.1,1,2000,603662185,0.789603,,0.722706,0.41285,,78.9603
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,TPOT,81s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T20:51:37,168.8,,,,1634862384,,,,,,0
fabert,fabert,AutoGluon,147s,0,multiclass,-0.803059,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T20:54:19,156.4,151,0.4,9,1518367234,0.697816,,0.666306,0.803059,7,69.7816
fabert,fabert,H2OAutoML,147s,0,multiclass,-0.850911,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-07T20:57:07,163.1,148.2,0.3,11,1174257977,0.690129,,0.666242,0.850911,,69.0129
fabert,fabert,mljarsupervised,147s,0,multiclass,-0.902125,neg_logloss,local,1.1.1,,2.1.7,2024-01-07T20:59:31,138.2,128.4,0.7,6,1656274585,0.671926,,0.640152,0.902125,,67.1926
fabert,fabert,constantpredictor,147s,0,multiclass,-1.8724,neg_logloss,local,1.2.2,,2.1.7,2024-01-07T20:59:36,0.6,0.0007,0.0001,1,1364590943,0.23665,,0.142857,1.8724,,23.665
fabert,fabert,RandomForest,147s,0,multiclass,-0.845073,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T21:00:07,26,21.3,0.8,2000,93431150,0.686893,,0.650427,0.845073,,68.6893
fabert,fabert,TPOT,147s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T21:05:14,301.8,,,,769230779,,,,,,0
MiniBooNE,MiniBooNE,AutoGluon,206s,0,binary,0.988118,auc,local,1.0.0,,2.1.7,2024-01-07T21:08:52,212.3,206.8,0.7,13,1184530748,0.950077,0.988118,0.940674,0.12431,3,95.0077
MiniBooNE,MiniBooNE,H2OAutoML,206s,0,binary,0.986228,auc,local,3.44.0.3,,2.1.7,2024-01-07T21:12:41,223.1,208.1,0.5,17,1341895811,0.945746,0.986228,0.938921,0.134341,,94.5746
MiniBooNE,MiniBooNE,mljarsupervised,206s,0,binary,0.985692,auc,local,1.1.1,,2.1.7,2024-01-07T21:15:38,172.6,163.1,0.2,6,1984697844,0.945823,0.985692,0.933672,0.137083,,94.5823
MiniBooNE,MiniBooNE,constantpredictor,206s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T21:15:44,0.7,0.003,0.0002,1,1664927470,0.719682,0.5,0.5,0.593254,,71.9682
MiniBooNE,MiniBooNE,RandomForest,206s,0,binary,0.981247,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T21:18:58,189,184.3,0.7,1250,1182705830,0.936366,0.981247,0.919483,0.173643,,93.6366
MiniBooNE,MiniBooNE,TPOT,206s,0,binary,0.983629,auc,local,0.12.1,,2.1.7,2024-01-07T21:25:22,378.1,369.5,0.1,64,1973625164,0.941261,0.983629,0.930112,0.147535,,94.1261
adult,adult,AutoGluon,100s,0,binary,,auc,local,1.0.0,,2.1.7,2024-01-07T21:27:11,104.1,,,,1570606273,,,,,,0
adult,adult,H2OAutoML,100s,0,binary,0.931968,auc,local,3.44.0.3,,2.1.7,2024-01-07T21:29:10,114.6,101.5,0.5,19,2038229727,0.86815,0.931968,0.832755,0.268272,,86.815
adult,adult,mljarsupervised,100s,0,binary,0.930527,auc,local,1.1.1,,2.1.7,2024-01-07T21:30:32,78,69.6,0.1,6,20781035,0.879956,0.930527,0.803238,0.269638,,87.9956
adult,adult,constantpredictor,100s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T21:30:37,0.2,0.01,0.0002,1,2103464682,0.766601,0.5,0.5,0.543545,,76.6601
adult,adult,RandomForest,100s,0,binary,,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T21:31:03,22,,,,1777728798,,,,,,0
adult,adult,TPOT,100s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-07T21:34:11,182.7,,,,143747170,,,,,,0
jasmine,jasmine,AutoGluon,73s,0,binary,0.870593,auc,local,1.0.0,,2.1.7,2024-01-07T21:34:39,23.6,19.5,0.4,14,656490946,0.799107,0.870593,0.798485,0.422769,8,79.9107
jasmine,jasmine,H2OAutoML,73s,0,binary,0.872172,auc,local,3.44.0.3,,2.1.7,2024-01-07T21:36:11,87.6,75.4,0.3,25,1498676824,0.802455,0.872172,0.801858,0.412894,,80.2455
jasmine,jasmine,mljarsupervised,73s,0,binary,0.852945,auc,local,1.1.1,,2.1.7,2024-01-07T21:37:36,81.3,72.9,0.2,7,380241886,0.771205,0.852945,0.770947,0.442028,,77.1205
jasmine,jasmine,constantpredictor,73s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T21:37:41,0.07,0.0004,0.00007,1,882023739,0.497768,0.5,0.5,0.693158,,49.7768
jasmine,jasmine,RandomForest,73s,0,binary,0.879106,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T21:37:57,11.8,9.1,0.8,2000,1758223120,0.803571,0.879106,0.80295,0.450563,,80.3571
jasmine,jasmine,TPOT,73s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-07T21:40:34,152.9,,,,351213328,,,,,,0
car,car,AutoGluon,77s,0,multiclass,-0.0907953,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T21:42:01,82.4,79.5,0.2,7,752541956,0.974952,,0.954541,0.0907953,3,97.4952
car,car,H2OAutoML,77s,0,multiclass,-0.0733892,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-07T21:43:34,88.1,79.2,0.2,35,1521149259,0.976879,,0.929024,0.0733892,,97.6879
car,car,mljarsupervised,77s,0,multiclass,-0.0855595,neg_logloss,local,1.1.1,,2.1.7,2024-01-07T21:44:43,65.3,56.8,0.2,7,264180171,0.974952,,0.933882,0.0855595,,97.4952
car,car,constantpredictor,77s,0,multiclass,-0.858738,neg_logloss,local,1.2.2,,2.1.7,2024-01-07T21:44:48,0.03,0.0006,0.00008,1,605125630,0.689788,,0.25,0.858738,,68.9788
car,car,RandomForest,77s,0,multiclass,-0.172299,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T21:45:03,10.8,8.2,0.7,2000,1814251572,0.967245,,0.91711,0.172299,,96.7245
car,car,TPOT,77s,0,multiclass,-0.0626807,neg_logloss,local,0.12.1,,2.1.7,2024-01-07T21:46:51,103.3,97.1,0.007,289,546762483,0.982659,,0.950556,0.0626807,,98.2659
riccardo,riccardo,AutoGluon,1003s,0,binary,0.999754,auc,local,1.0.0,,2.1.7,2024-01-07T22:04:22,1034.3,1009.6,1.5,8,1998916988,0.997,0.999754,0.998007,0.0818321,4,99.7
riccardo,riccardo,H2OAutoML,1003s,0,binary,0.999664,auc,local,3.44.0.3,,2.1.7,2024-01-07T22:22:06,1047.4,1010.8,0.5,12,2027821919,0.996333,0.999664,0.99666,0.0131828,,99.6333
riccardo,riccardo,mljarsupervised,1003s,0,binary,,auc,local,1.1.1,,2.1.7,2024-01-07T22:56:17,2034.6,,,,1308007127,,,,,,0
riccardo,riccardo,constantpredictor,1003s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-07T22:56:40,6.6,0.0008,0.0001,1,1598439133,0.7525,0.5,0.5,0.559606,,75.25
riccardo,riccardo,RandomForest,1003s,0,binary,0.998847,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-07T23:02:15,318,290.1,0.9,2000,426851704,0.958333,0.998847,0.916503,0.192145,,95.8333
riccardo,riccardo,TPOT,1003s,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-07T23:13:48,677.2,,,,1407327741,,,,,,0
dionis,dionis,AutoGluon,886s,0,multiclass,-0.346833,neg_logloss,local,1.0.0,,2.1.7,2024-01-07T23:30:14,991.3,904.2,11.1,5,1678429157,0.916408,,0.914297,0.346833,4,91.6408
dionis,dionis,H2OAutoML,886s,0,multiclass,,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-08T00:00:14,1777.8,,,,1519124286,,,,,,0
dionis,dionis,mljarsupervised,886s,0,multiclass,-1.65728,neg_logloss,local,1.1.1,,2.1.7,2024-01-08T00:31:05,1862.7,1656.9,2.8,4,1680750437,0.586759,,0.577829,1.65728,,58.6759
dionis,dionis,constantpredictor,886s,0,multiclass,-5.8864,neg_logloss,local,1.2.2,,2.1.7,2024-01-08T00:32:56,101.5,0.02,0.0005,1,938609385,0.00608696,,0.0028169,5.8864,,0.608696
dionis,dionis,RandomForest,886s,0,multiclass,-0.646345,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T00:44:12,659,488.7,51.5,530,356158848,0.911307,,0.90921,0.646345,,91.1307
dionis,dionis,TPOT,886s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-08T01:14:17,1783.9,,,,458038376,,,,,,0
christine,christine,AutoGluon,263s,0,binary,0.810202,auc,local,1.0.0,,2.1.7,2024-01-08T01:18:53,269.8,262,0.7,11,1510061806,0.728782,0.810202,0.728527,0.530839,7,72.8782
