id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,acc,auc,balacc,logloss,models_ensemble_count,acc_final
bank-marketing,bank-marketing,AutoGluon,1h,0,binary,0.937418,auc,local,1.0.0,,2.1.7,2024-01-03T22:55:08,297.1,292.5,0.3,14,1641826829,0.908582,0.937418,0.720729,0.194053,5,90.8582
bank-marketing,bank-marketing,H2OAutoML,1h,0,binary,0.937123,auc,local,3.44.0.3,,2.1.7,2024-01-03T23:55:33,3620,3602.3,0.7,233,1954752684,0.896564,0.937123,0.844048,0.194089,,89.6564
bank-marketing,bank-marketing,mljarsupervised,1h,0,binary,0.929463,auc,local,1.1.1,,2.1.7,2024-01-03T23:57:23,105.4,96.5,0.1,6,1916614943,0.906517,0.929463,0.752362,0.204783,,90.6517
bank-marketing,bank-marketing,constantpredictor,1h,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-03T23:57:28,0.2,0.001,0.0002,1,118265708,0.882188,0.5,0.5,0.362549,,88.2188
bank-marketing,bank-marketing,RandomForest,1h,0,binary,0.927692,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-03T23:57:56,23.5,19.5,0.9,2000,785382033,0.903937,0.927692,0.698848,0.207598,,90.3937
bank-marketing,bank-marketing,TPOT,1h,0,binary,0.93226,auc,local,0.12.1,,2.1.7,2024-01-04T00:58:23,3621.9,3614.5,0.04,1796,1328421824,0.907771,0.93226,0.720811,0.200938,,90.7771
connect-4,connect-4,AutoGluon,1h,0,multiclass,-0.349009,neg_logloss,local,1.0.0,,2.1.7,2024-01-04T01:53:26,3254.4,3246,2.7,14,781349005,0.864022,,0.705483,0.349009,6,86.4022
connect-4,connect-4,H2OAutoML,1h,0,multiclass,-0.323558,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-04T02:53:56,3625.6,3604.8,4.3,59,207579446,0.869252,,0.721481,0.323558,,86.9252
connect-4,connect-4,mljarsupervised,1h,0,multiclass,-0.396632,neg_logloss,local,1.1.1,,2.1.7,2024-01-04T02:57:03,182.2,172.3,1.2,6,1672214058,0.844484,,0.676013,0.396632,,84.4484
connect-4,connect-4,constantpredictor,1h,0,multiclass,-0.845562,neg_logloss,local,1.2.2,,2.1.7,2024-01-04T02:57:08,0.3,0.003,0.0002,1,1409047318,0.65744,,0.333333,0.845562,,65.744
connect-4,connect-4,RandomForest,1h,0,multiclass,-0.509006,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-04T02:57:41,29,24.7,1.2,2000,2136894109,0.813844,,0.588461,0.509006,,81.3844
connect-4,connect-4,TPOT,1h,0,multiclass,-0.364556,neg_logloss,local,0.12.1,,2.1.7,2024-01-04T04:01:09,3803.1,3795.3,0.3,758,131247312,0.856572,,0.692291,0.364556,,85.6572
Fashion-MNIST,Fashion-MNIST,AutoGluon,1h,0,multiclass,-0.242213,neg_logloss,local,1.0.0,,2.1.7,2024-01-04T05:03:52,3613.4,3597.4,2.2,9,1217718120,0.909524,,0.909766,0.242213,5,90.9524
Fashion-MNIST,Fashion-MNIST,H2OAutoML,1h,0,multiclass,-0.292319,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-04T06:04:23,3622.2,3601.1,0.7,16,659255559,0.894905,,0.895272,0.292319,,89.4905
Fashion-MNIST,Fashion-MNIST,mljarsupervised,1h,0,multiclass,-0.608961,neg_logloss,local,1.1.1,,2.1.7,2024-01-04T06:08:49,257.6,242.1,3,5,1386587375,0.76881,,0.768703,0.608961,,76.881
Fashion-MNIST,Fashion-MNIST,constantpredictor,1h,0,multiclass,-2.30277,neg_logloss,local,1.2.2,,2.1.7,2024-01-04T06:09:00,2.7,0.003,0.0002,1,807175180,0.0960476,,0.1,2.30277,,9.60476
Fashion-MNIST,Fashion-MNIST,RandomForest,1h,0,multiclass,-0.370889,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-04T06:12:44,215.2,199,1.8,2000,332680640,0.884,,0.884369,0.370889,,88.4
Fashion-MNIST,Fashion-MNIST,TPOT,1h,0,multiclass,-0.435094,neg_logloss,local,0.12.1,,2.1.7,2024-01-04T07:14:30,3698.1,3679.4,0.8,161,1844454503,0.863905,,0.864342,0.435094,,86.3905
guillermo,guillermo,AutoGluon,1h,0,binary,0.906942,auc,local,1.0.0,,2.1.7,2024-01-04T07:59:10,1842.2,1808.8,1.9,14,1370821572,0.843,0.906942,0.819008,0.366252,4,84.3
guillermo,guillermo,H2OAutoML,1h,0,binary,0.895992,auc,local,3.44.0.3,,2.1.7,2024-01-04T09:00:17,3648.9,3603.4,1,19,433696558,0.823833,0.895992,0.816229,0.387395,,82.3833
guillermo,guillermo,mljarsupervised,1h,0,binary,0.893055,auc,local,1.1.1,,2.1.7,2024-01-04T10:18:32,4677.9,4655.2,2.8,6,1512431076,0.826,0.893055,0.805989,0.398175,,82.6
guillermo,guillermo,constantpredictor,1h,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-04T10:18:58,7.1,0.0008,0.0001,1,322937251,0.605167,0.5,0.5,0.670981,,60.5167
guillermo,guillermo,RandomForest,1h,0,binary,0.892998,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-04T10:22:53,218.5,188.8,1,2000,1304628080,0.815667,0.892998,0.775078,0.443165,,81.5667
guillermo,guillermo,TPOT,1h,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-04T10:36:07,776.1,,,,2034385229,,,,,,0
helena,helena,AutoGluon,1h,0,multiclass,-2.49035,neg_logloss,local,1.0.0,,2.1.7,2024-01-04T11:27:48,3056.9,3004.8,9.3,14,1475472215,0.394857,,0.244463,2.49035,8,39.4857
helena,helena,H2OAutoML,1h,0,multiclass,-5.73939,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-04T12:28:24,3631.1,3609.9,0.8,16,1721397982,0.331101,,0.179146,5.73939,,33.1101
helena,helena,mljarsupervised,1h,0,multiclass,-3.01355,neg_logloss,local,1.1.1,,2.1.7,2024-01-04T12:38:52,623.3,602.2,0.5,5,2079412215,0.291324,,0.0971199,3.01355,,29.1324
helena,helena,constantpredictor,1h,0,multiclass,-5.0326,neg_logloss,local,1.2.2,,2.1.7,2024-01-04T12:39:00,3.5,0.003,0.0002,1,1419114293,0.0604837,,0.01,5.0326,,6.04837
helena,helena,RandomForest,1h,0,multiclass,-2.93498,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-04T12:42:34,209,185.7,8.7,2000,1182000340,0.367606,,0.195574,2.93498,,36.7606
helena,helena,TPOT,1h,0,multiclass,-2.96423,neg_logloss,local,0.12.1,,2.1.7,2024-01-04T13:47:11,3872.6,3860.1,1.2,98,966769524,0.32517,,0.132897,2.96423,,32.517
higgs,higgs,AutoGluon,1h,0,binary,0.815782,auc,local,1.0.0,,2.1.7,2024-01-04T14:08:19,1220.8,1211.6,1.6,14,1888546275,0.735339,0.815782,0.733997,0.52123,7,73.5339
higgs,higgs,H2OAutoML,1h,0,binary,0.810596,auc,local,3.44.0.3,,2.1.7,2024-01-04T15:08:42,3618.5,3602.2,1,126,1773790548,0.713683,0.810596,0.703875,0.527291,,71.3683
higgs,higgs,mljarsupervised,1h,0,binary,0.801026,auc,local,1.1.1,,2.1.7,2024-01-04T15:11:27,159.3,149.9,0.1,6,1155233783,0.72344,0.801026,0.721214,0.538026,,72.344
higgs,higgs,constantpredictor,1h,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-04T15:11:32,0.5,0.003,0.0002,1,1072246824,0.52905,0.5,0.5,0.691459,,52.905
higgs,higgs,RandomForest,1h,0,binary,0.799964,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-04T15:13:49,131.6,126.3,1.5,2000,986869712,0.722047,0.799964,0.720637,0.551948,,72.2047
higgs,higgs,TPOT,1h,0,binary,0.802293,auc,local,0.12.1,,2.1.7,2024-01-04T16:17:18,3804.4,3796.4,0.2,581,2031031938,0.722727,0.802293,0.721316,0.536905,,72.2727
jannis,jannis,AutoGluon,1h,0,multiclass,-0.668257,neg_logloss,local,1.0.0,,2.1.7,2024-01-04T16:43:38,1529.3,1520.8,2.9,14,180860430,0.726393,,0.550632,0.668257,5,72.6393
jannis,jannis,H2OAutoML,1h,0,multiclass,-0.671741,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-04T17:44:05,3621.9,3601.8,4.1,58,106521701,0.725358,,0.557219,0.671741,,72.5358
jannis,jannis,mljarsupervised,1h,0,multiclass,-0.693267,neg_logloss,local,1.1.1,,2.1.7,2024-01-04T17:47:56,225.6,215.8,0.5,6,194806662,0.71246,,0.528868,0.693267,,71.246
jannis,jannis,constantpredictor,1h,0,multiclass,-1.11111,neg_logloss,local,1.2.2,,2.1.7,2024-01-04T17:48:01,0.5,0.003,0.0002,1,76751052,0.456568,,0.25,1.11111,,45.6568
jannis,jannis,RandomForest,1h,0,multiclass,-0.732633,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-04T17:51:03,176.6,171.1,1.4,2000,786571283,0.704777,,0.514347,0.732633,,70.4777
jannis,jannis,TPOT,1h,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-04T19:51:15,7207.1,,,,554233218,,,,,,0
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,AutoGluon,1h,0,multiclass,-0.148251,neg_logloss,local,1.0.0,,2.1.7,2024-01-04T20:04:09,721.6,718.2,0.2,14,8789138,0.91596,,0.8955,0.148251,3,91.596
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,H2OAutoML,1h,0,multiclass,-0.122935,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-04T21:05:00,3646.7,3630,3.9,246,59121620,0.95679,,0.931764,0.122935,,95.679
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,mljarsupervised,1h,0,multiclass,-0.243388,neg_logloss,local,1.1.1,,2.1.7,2024-01-04T21:09:12,247,237.6,0.8,6,172288719,0.865982,,0.815008,0.243388,,86.5982
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,constantpredictor,1h,0,multiclass,-0.937508,neg_logloss,local,1.2.2,,2.1.7,2024-01-04T21:09:16,0.2,0.01,0.0001,1,23323889,0.513313,,0.333333,0.937508,,51.3313
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,RandomForest,1h,0,multiclass,-0.413053,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-04T21:09:39,18.1,14.6,1,2000,727145803,0.789528,,0.722326,0.413053,,78.9528
jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,TPOT,1h,0,multiclass,-13.6077,neg_logloss,local,0.12.1,,2.1.7,2024-01-04T22:12:36,3772.7,3766.1,0.02,1421,1683785349,0.970995,,0.948571,13.6077,,97.0995
KDDCup09Appetency,KDDCup09_appetency,AutoGluon,1h,0,binary,,auc,local,1.0.0,,2.1.7,2024-01-04T22:19:12,303.5,,,,1163713437,,,,,,0
KDDCup09Appetency,KDDCup09_appetency,H2OAutoML,1h,0,binary,,auc,local,3.44.0.3,,2.1.7,2024-01-04T23:20:02,3644.4,,,,1104678088,,,,,,0
KDDCup09Appetency,KDDCup09_appetency,mljarsupervised,1h,0,binary,0.807556,auc,local,1.1.1,,2.1.7,2024-01-04T23:22:31,143.3,121.3,12.2,6,1984822755,0.971933,0.807556,0.543977,0.0757996,,97.1933
KDDCup09Appetency,KDDCup09_appetency,constantpredictor,1h,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-04T23:22:38,1.5,0.002,0.0002,1,1874560004,0.9828,0.5,0.5,0.0869532,,98.28
KDDCup09Appetency,KDDCup09_appetency,RandomForest,1h,0,binary,,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-04T23:22:47,3.4,,,,1226118291,,,,,,0
KDDCup09Appetency,KDDCup09_appetency,TPOT,1h,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-04T23:22:57,3.4,,,,1142005856,,,,,,0
MiniBooNE,MiniBooNE,AutoGluon,1h,0,binary,0.988204,auc,local,1.0.0,,2.1.7,2024-01-04T23:40:14,988.4,979.6,2.6,14,1503956072,0.950846,0.988204,0.942157,0.124076,4,95.0846
MiniBooNE,MiniBooNE,H2OAutoML,1h,0,binary,0.987011,auc,local,3.44.0.3,,2.1.7,2024-01-05T00:40:40,3620.1,3602.4,1,80,1835600773,0.947309,0.987011,0.941486,0.130499,,94.7309
MiniBooNE,MiniBooNE,mljarsupervised,1h,0,binary,0.985692,auc,local,1.1.1,,2.1.7,2024-01-05T00:44:54,248,238.1,0.2,6,268463051,0.945823,0.985692,0.933672,0.137083,,94.5823
MiniBooNE,MiniBooNE,constantpredictor,1h,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-05T00:45:00,0.8,0.003,0.0003,1,2033075814,0.719682,0.5,0.5,0.593254,,71.9682
MiniBooNE,MiniBooNE,RandomForest,1h,0,binary,0.981267,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-05T00:50:06,299.9,293.3,1.4,2000,1010835794,0.936622,0.981267,0.919912,0.172902,,93.6622
MiniBooNE,MiniBooNE,TPOT,1h,0,binary,0.985326,auc,local,0.12.1,,2.1.7,2024-01-05T01:54:17,3845.9,3836.5,0.2,484,1097643503,0.944387,0.985326,0.933316,0.139053,,94.4387
nomao,nomao,AutoGluon,1h,0,binary,0.996543,auc,local,1.0.0,,2.1.7,2024-01-05T02:05:36,624.9,619.9,0.3,14,818280910,0.976015,0.996543,0.970699,0.0662196,5,97.6015
nomao,nomao,H2OAutoML,1h,0,binary,0.996444,auc,local,3.44.0.3,,2.1.7,2024-01-05T03:06:00,3618.8,3602.8,0.7,101,458836754,0.973598,0.996444,0.970785,0.0677992,,97.3598
nomao,nomao,mljarsupervised,1h,0,binary,0.995437,auc,local,1.1.1,,2.1.7,2024-01-05T03:07:37,91.5,82.3,0.1,6,1723580571,0.972534,0.995437,0.967858,0.075169,,97.2534
nomao,nomao,constantpredictor,1h,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-05T03:07:42,0.4,0.001,0.0002,1,1713548697,0.717988,0.5,0.5,0.594908,,71.7988
nomao,nomao,RandomForest,1h,0,binary,0.994805,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-05T03:08:10,23.5,19.5,0.9,2000,411236893,0.97118,0.994805,0.96275,0.0879834,,97.118
nomao,nomao,TPOT,1h,0,binary,0.995112,auc,local,0.12.1,,2.1.7,2024-01-05T04:09:39,3683.3,3675.7,0.05,762,1752788319,0.971567,0.995112,0.966456,0.0807241,,97.1567
numerai28.6,numerai28_6,AutoGluon,1h,0,binary,0.530009,auc,local,1.0.0,,2.1.7,2024-01-05T04:26:50,984.7,979.1,1.1,14,1958155272,0.521975,0.530009,0.519993,0.691642,7,52.1975
numerai28.6,numerai28_6,H2OAutoML,1h,0,binary,0.52614,auc,local,3.44.0.3,,2.1.7,2024-01-05T05:26:30,3575.1,3560,0.8,129,1883474941,0.507856,0.52614,0.500409,0.692282,,50.7856
numerai28.6,numerai28_6,mljarsupervised,1h,0,binary,0.527041,auc,local,1.1.1,,2.1.7,2024-01-05T05:28:25,110.2,100.9,0.3,6,77796244,0.519172,0.527041,0.515547,0.691895,,51.9172
numerai28.6,numerai28_6,constantpredictor,1h,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-05T05:28:31,0.4,0.003,0.0002,1,1342250392,0.507475,0.5,0.5,0.693057,,50.7475
numerai28.6,numerai28_6,RandomForest,1h,0,binary,0.513113,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-05T05:30:22,106.5,101.1,1.6,2000,24714650,0.50834,0.513113,0.507815,0.695983,,50.834
numerai28.6,numerai28_6,TPOT,1h,0,binary,0.526562,auc,local,0.12.1,,2.1.7,2024-01-05T06:34:17,3830.6,3822.5,0.4,634,2078101772,0.521179,0.526562,0.51964,0.691813,,52.1179
riccardo,riccardo,AutoGluon,1h,0,binary,0.999763,auc,local,1.0.0,,2.1.7,2024-01-05T07:48:59,3650.3,3609.1,2.3,14,1059613237,0.996833,0.999763,0.99767,0.0741201,5,99.6833
riccardo,riccardo,H2OAutoML,1h,0,binary,0.999689,auc,local,3.44.0.3,,2.1.7,2024-01-05T08:50:05,3647.7,3603.2,0.6,18,738316442,0.997833,0.999689,0.998334,0.0113759,,99.7833
riccardo,riccardo,mljarsupervised,1h,0,binary,0.999736,auc,local,1.1.1,,2.1.7,2024-01-05T10:06:40,4577.7,4548.9,5.9,6,1458853037,0.994333,0.999736,0.991038,0.0212557,,99.4333
riccardo,riccardo,constantpredictor,1h,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-05T10:07:07,7.4,0.0009,0.0002,1,748096368,0.7525,0.5,0.5,0.559606,,75.25
riccardo,riccardo,RandomForest,1h,0,binary,0.998807,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-05T10:12:49,324.2,292.8,1,2000,328481044,0.956333,0.998807,0.912462,0.192839,,95.6333
riccardo,riccardo,TPOT,1h,0,binary,,auc,local,0.12.1,,2.1.7,2024-01-05T10:21:07,479.4,,,,1064228706,,,,,,0
robert,robert,AutoGluon,1h,0,multiclass,-1.32935,neg_logloss,local,1.0.0,,2.1.7,2024-01-05T11:41:16,3650.7,3614.9,2.8,6,311344441,0.541,,0.543936,1.32935,5,54.1
robert,robert,H2OAutoML,1h,0,multiclass,-1.43828,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-05T12:42:46,3673.4,3633.9,1,8,1712152590,0.491,,0.494227,1.43828,,49.1
robert,robert,mljarsupervised,1h,0,multiclass,-2.09339,neg_logloss,local,1.1.1,,2.1.7,2024-01-05T13:35:00,3116.8,3090.2,6.3,4,420199841,0.259333,,0.262658,2.09339,,25.9333
robert,robert,constantpredictor,1h,0,multiclass,-2.30273,neg_logloss,local,1.2.2,,2.1.7,2024-01-05T13:35:25,7.2,0.0008,0.0001,1,2031859862,0.107333,,0.1,2.30273,,10.7333
robert,robert,RandomForest,1h,0,multiclass,-1.70151,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-05T13:38:51,188.2,159.7,0.9,2000,1586792680,0.473,,0.476112,1.70151,,47.3
robert,robert,TPOT,1h,0,multiclass,-1.7937,neg_logloss,local,0.12.1,,2.1.7,2024-01-05T15:00:58,4910.9,4880.3,0.2,96,707666885,0.414667,,0.416833,1.7937,,41.4667
shuttle,shuttle,AutoGluon,1h,0,multiclass,-0.000761182,neg_logloss,local,1.0.0,,2.1.7,2024-01-05T15:12:57,674.8,671.4,0.09,14,1578231055,0.99977,,0.99074,0.000761182,2,99.977
