dataset_name,config,llm_model,task_type,iteration,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count
NYC,CatDB,gemini-2.5-pro,regression,2,0.124856472015381,37.4025270938873,42.2839496135712,2.61188697814941,-2,-2,-2,-2,-2,-2,0.591633279009889,0.336497770672935,-2,-2,-2,-2,-2,-2,0.584039257562352,0.339339463831343,3205
NYC,CatDB,gemini-2.5-pro,regression,3,0.124856472015381,43.4061622619629,52.51100897789,6.51405048370361,-2,-2,-2,-2,-2,-2,0.575242193850356,0.389156329903949,-2,-2,-2,-2,-2,-2,0.572649305033841,0.390281292981478,3205
NYC,CatDB,gemini-2.5-pro,regression,4,0.124856472015381,36.9897224903107,40.3290922641754,2.40149521827698,-2,-2,-2,-2,-2,-2,0.591633279009889,0.336497770672935,-2,-2,-2,-2,-2,-2,0.584039257562352,0.339339463831343,3205
NYC,CatDB,gemini-2.5-pro,regression,5,0.124856472015381,42.2767088413239,52.6831824779511,6.15788650512695,-2,-2,-2,-2,-2,-2,0.575242193850356,0.389156329903949,-2,-2,-2,-2,-2,-2,0.572649305033841,0.390281292981478,3205
House-Sales,CatDB,gemini-2.5-pro,regression,1,0.194328308105469,43.3642692565918,45.4210777282715,0.456605672836304,-2,-2,-2,-2,-2,-2,0.914748997754439,0.133994748525198,-2,-2,-2,-2,-2,-2,0.879887214250558,0.159214711692949,3510
House-Sales,CatDB,gemini-2.5-pro,regression,2,0.194328308105469,45.0900676250458,45.8630697727203,0.45432710647583,-2,-2,-2,-2,-2,-2,0.917401490163403,0.150774250332688,-2,-2,-2,-2,-2,-2,0.887297938901134,0.178390556298767,3510
House-Sales,CatDB,gemini-2.5-pro,regression,3,0.194328308105469,43.6796805858612,64.9806017875671,0.414676904678345,-2,-2,-2,-2,-2,-2,0.913917986013625,0.134604422107114,-2,-2,-2,-2,-2,-2,0.878951091365797,0.15996387382844,3510
House-Sales,CatDB,gemini-2.5-pro,regression,4,0.194328308105469,43.7057700157166,44.3493931293488,0.363426923751831,-2,-2,-2,-2,-2,-2,0.914748997754439,0.133994748525198,-2,-2,-2,-2,-2,-2,0.879887214250558,0.159214711692949,3510
House-Sales,CatDB,gemini-2.5-pro,regression,5,0.194328308105469,44.8406043052673,48.0094289779663,1.4898464679718,-2,-2,-2,-2,-2,-2,0.917401490163403,0.150774250332688,-2,-2,-2,-2,-2,-2,0.887297938901134,0.178390556298767,3510
Airline,CatDB,gemini-2.5-pro,multiclass,1,0.291217088699341,59.0413031578064,80.1748161315918,14.7461533546448,-2,0.998318170914696,0.998318170914696,0.983284318250755,-2,0.0505056383576439,-2,-2,-2,0.997588577318941,0.997588577318941,0.98012154781137,-2,0.0553763034445108,-2,-2,6868
Airline,CatDB,gemini-2.5-pro,multiclass,2,0.291217088699341,65.7640306949615,209.080276012421,12.4769034385681,-2,0.981818530075333,0.981818530075333,0.956367784562227,-2,0.115941203938657,-2,-2,-2,0.973199865350009,0.973199865350009,0.949649973074852,-2,0.133774674944906,-2,-2,6868
Airline,CatDB,gemini-2.5-pro,multiclass,3,0.291217088699341,61.7518439292908,139.349294424057,32.2975263595581,-2,1,1,1,-2,1.17972239330126E-05,-2,-2,-2,1,1,0.999961535502731,-2,0.0003980204672911,-2,-2,6868
Airline,CatDB,gemini-2.5-pro,multiclass,4,0.291217088699341,58.3102045059204,138.575444936752,32.8305788040161,-2,1,1,1,-2,1.17972239330126E-05,-2,-2,-2,1,1,0.999961535502731,-2,0.0003980204672911,-2,-2,6868
Airline,CatDB,gemini-2.5-pro,multiclass,5,0.291217088699341,60.4841747283936,88.6135671138763,20.6768934726715,-2,0.96148548125628,0.96148548125628,0.923137536761312,-2,0.177800391713078,-2,-2,-2,0.957331590734521,0.957331590734521,0.920416955150396,-2,0.18506845862359,-2,-2,6868
IMDB-IJS,CatDB,gemini-2.5-pro,binary,1,0.127220630645752,46.7149465084076,362.736327886581,235.349618434906,0.999999972174049,-2,-2,0.999891505564173,0.999923597168437,-2,-2,-2,0.99999679697515,-2,-2,0.999288377894323,0.999498715801025,-2,-2,-2,3299
IMDB-IJS,CatDB,gemini-2.5-pro,binary,2,0.127220630645752,47.1835384368896,411.883070707321,259.326889514923,0.999999972174049,-2,-2,0.999891505564173,0.999923597168437,-2,-2,-2,0.99999679697515,-2,-2,0.999288377894323,0.999498715801025,-2,-2,-2,3299
IMDB-IJS,CatDB,gemini-2.5-pro,binary,3,0.127220630645752,44.4110388755798,385.448714971542,235.523063421249,0.696712721121794,-2,-2,0.579176897143948,0.62536490001876,-2,-2,-2,0.695935529414683,-2,-2,0.578588653196941,0.624728064649889,-2,-2,-2,3299
IMDB-IJS,CatDB,gemini-2.5-pro,binary,4,0.127220630645752,45.7902503013611,377.144183635712,249.95855307579,0.998978695057938,-2,-2,0.985632593068276,0.989885693303642,-2,-2,-2,0.998912131626551,-2,-2,0.985424322536705,0.989739347136563,-2,-2,-2,3299
IMDB-IJS,CatDB,gemini-2.5-pro,binary,5,0.127220630645752,44.9523966312408,380.663376092911,253.009028434753,0.998978695057938,-2,-2,0.985632593068276,0.989885693303642,-2,-2,-2,0.998912131626551,-2,-2,0.985424322536705,0.989739347136563,-2,-2,-2,3299
Accidents,CatDB,gemini-2.5-pro,multiclass,1,0.244406938552856,61.1679599285126,579.488003492355,391.931809902191,-2,0.984085940730494,0.971236292656007,0.837948564369408,-2,0.504675190626793,-2,-2,-2,0.960408943152414,0.949407086455549,0.816264923430616,-2,0.545367102253261,-2,-2,5520
Accidents,CatDB,gemini-2.5-pro,multiclass,2,0.244406938552856,52.7926397323608,103.560902357101,36.7794308662415,-2,0.954364262456919,0.961347010372218,0.889503986822895,-2,0.331544186120948,-2,-2,-2,0.499617825934147,0.499298756199865,0.545897956402794,-2,2.98472197822393,-2,-2,5520
Accidents,CatDB,gemini-2.5-pro,multiclass,3,0.244406938552856,53.1882128715515,241.251655578613,177.460510492325,-2,0.951086561497182,0.958696333409038,0.888622019241568,-2,0.354313293396077,-2,-2,-2,0.940027318855262,0.949300458601946,0.88495550485481,-2,0.38353018653904,-2,-2,5520
Accidents,CatDB,gemini-2.5-pro,multiclass,4,0.244406938552856,59.1746778488159,152.48832154274,39.4240112304687,-2,0.954364262456919,0.961347010372218,0.889503986822895,-2,0.331544186120949,-2,-2,-2,0.499617825934147,0.499298756199865,0.545897956402794,-2,2.98472197822389,-2,-2,5520
Accidents,CatDB,gemini-2.5-pro,multiclass,5,0.244406938552856,63.227954864502,305.627322673798,129.241800546646,-2,0.973569318155134,0.977234506017604,0.89963089132632,-2,0.28049848877267,-2,-2,-2,0.94926598988502,0.956427861904273,0.888599669474618,-2,0.340918250518488,-2,-2,5520
Financial,CatDB,gemini-2.5-pro,multiclass,1,0.205227136611938,70.728991985321,339.867663383484,20.2092523574829,-2,1,1,1,-2,0.0006559897935031,-2,-2,-2,1,1,1,-2,0.0006552049730413,-2,-2,5889
Financial,CatDB,gemini-2.5-pro,multiclass,2,0.205227136611938,65.1868948936462,304.106312274933,147.772975683212,-2,1,1,1,-2,1.40050597180154E-08,-2,-2,-2,1,1,1,-2,1.40810287747612E-08,-2,-2,5889
Financial,CatDB,gemini-2.5-pro,multiclass,3,0.205227136611938,68.567179441452,146.643018722534,39.9415490627289,-2,1,1,1,-2,0.002567579862189,-2,-2,-2,0.499244355761667,0.498851288183049,0.432345446421023,-2,4.51617125165633,-2,-2,5889
Financial,CatDB,gemini-2.5-pro,multiclass,4,0.205227136611938,84.1857559680939,1683.064661026,355.35657286644,-2,1,1,1,-2,0.0006286063404715,-2,-2,-2,1,1,1,-2,0.0006292035900243,-2,-2,5889
Financial,CatDB,gemini-2.5-pro,multiclass,5,0.205227136611938,65.7225861549378,646.365900993347,216.341341018677,-2,1,1,1,-2,8.10822689433473E-07,-2,-2,-2,1,1,1,-2,8.08848523746908E-07,-2,-2,5889
