dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse
Balance-Scale,CatDB,,llama3-70b-8192,Auto,multiclass,False,0,0,Yes,0.0021309852600097,3.574018955230713,458.3508062362671,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Balance-Scale,CatDB,,llama3-70b-8192,Auto,multiclass,True,1,3,Yes,0.0021309852600097,28.52580976486206,98.83875679969788,0.2047688961029052,1.0,-1.0,0.130536103284162,-1,-1,0.8726114649681529,-1.0,0.989522381016644,-1,-1
Balance-Scale,CatDB,,llama3-70b-8192,Auto,multiclass,True,2,3,Yes,0.0021309852600097,37.15143823623657,110.9335799217224,0.2125558853149414,1.0,-1.0,0.1322246615837385,-1,-1,0.8789808917197452,-1.0,0.772239004790668,-1,-1
Balance-Scale,CatDB,,llama3-70b-8192,Auto,multiclass,True,3,3,Yes,0.0021309852600097,32.08293390274048,108.04956412315369,0.2117347717285156,1.0,-1.0,0.1304187694402952,-1,-1,0.8598726114649682,-1.0,1.214014514802758,-1,-1
Balance-Scale,CatDB,,llama3-70b-8192,Auto,multiclass,False,4,0,Yes,0.0021309852600097,31.22040724754333,616.7506618499756,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Breast-w,CatDB,,llama3-70b-8192,Auto,binary,False,0,0,Yes,0.0037426948547363,27.479318380355835,635.1267149448395,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Breast-w,CatDB,,llama3-70b-8192,Auto,binary,False,1,0,Yes,0.0037426948547363,30.078132390975952,897.1362330913544,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Breast-w,CatDB,,llama3-70b-8192,Auto,binary,False,2,0,Yes,0.0037426948547363,49.91684603691101,927.7265932559968,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Breast-w,CatDB,,llama3-70b-8192,Auto,binary,False,3,0,Yes,0.0037426948547363,44.623958110809326,652.396910905838,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Breast-w,CatDB,,llama3-70b-8192,Auto,binary,False,4,0,Yes,0.0037426948547363,29.095123767852783,864.7603230476379,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
CMC,CatDB,,llama3-70b-8192,Auto,multiclass,False,0,0,Yes,0.0033159255981445,34.90310215950012,541.1701817512512,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
CMC,CatDB,,llama3-70b-8192,Auto,multiclass,False,1,0,Yes,0.0033159255981445,23.60809206962585,528.1656355857849,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
CMC,CatDB,,llama3-70b-8192,Auto,multiclass,False,2,0,Yes,0.0033159255981445,27.387826681137085,533.7891900539398,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
CMC,CatDB,,llama3-70b-8192,Auto,multiclass,False,3,0,Yes,0.0033159255981445,24.24428915977478,527.1136438846588,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
CMC,CatDB,,llama3-70b-8192,Auto,multiclass,False,4,0,Yes,0.0033159255981445,28.127731800079346,534.6365983486176,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Credit-g,CatDB,,llama3-70b-8192,Auto,binary,True,0,7,Yes,0.0071873664855957,21.243825912475582,213.6925323009491,0.2564356327056885,1.0,1.0,-1.0,-1,-1,1.0,1.0,-1.0,-1,-1
Credit-g,CatDB,,llama3-70b-8192,Auto,binary,False,1,0,Yes,0.0071873664855957,34.641051292419434,559.6833844184875,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Credit-g,CatDB,,llama3-70b-8192,Auto,binary,False,2,0,Yes,0.0071873664855957,26.157970666885376,559.6541690826416,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Credit-g,CatDB,,llama3-70b-8192,Auto,binary,False,3,0,Yes,0.0071873664855957,25.34216547012329,554.1161029338837,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
Credit-g,CatDB,,llama3-70b-8192,Auto,binary,False,4,0,Yes,0.0071873664855957,28.245821475982662,562.4394738674164,0.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1
